taskId,taskName,parentTaskId,status,startDate,endDate,assignee,priority,description,displayOrder
T-001,プロジェクト立ち上げ,,done,2026-01-06,2026-01-08,田中,high,目的とスコープを定義,1
T-002,要件ヒアリング,T-001,done,2026-01-09,2026-01-12,佐藤,high,関係者インタビュー実施,2
T-003,要件書作成,T-001,inProgress,2026-01-13,2026-01-20,田中,critical,v1.0要件書ドラフト作成,3
T-004,画面ワイヤーフレーム作成,T-003,todo,2026-01-21,2026-01-24,鈴木,medium,主要画面の遷移と配置を定義,4
T-005,データモデル設計,T-003,inProgress,2026-01-21,2026-01-26,高橋,high,Task型とバリデーション項目整理,5
T-006,CSV取込機能実装,,todo,2026-01-27,2026-01-31,佐藤,high,ヘッダー認識とマッピング対応,6
T-007,カンバン画面実装,,todo,2026-02-01,2026-02-07,鈴木,high,D&Dと列内並び替え対応,7
T-008,ガント画面実装,,todo,2026-02-03,2026-02-12,高橋,critical,日週月スケールと親子表示,8
T-009,右クリック新規タスク作成,T-008,todo,2026-02-10,2026-02-13,田中,medium,クリック日付で初期値設定,9
T-010,ローカル保存と復元,,todo,2026-02-14,2026-02-18,佐藤,medium,LocalStorage保存と起動時復元,10
T-011,認証要件整理,,done,2026-02-19,2026-02-21,田中,medium,認証機能の要件整理を実施,11
T-012,ユーザー管理要件整理,T-011,done,2026-02-20,2026-02-23,佐藤,high,ユーザー管理機能の要件整理を実施,12
T-013,タスク一覧要件整理,,done,2026-02-21,2026-02-25,鈴木,critical,タスク一覧機能の要件整理を実施,13
T-014,タスク詳細要件整理,,done,2026-02-22,2026-02-27,高橋,medium,タスク詳細機能の要件整理を実施,14
T-015,ガント表示要件整理,,done,2026-02-23,2026-02-25,伊藤,low,ガント表示機能の要件整理を実施,15
T-016,カンバン表示要件整理,,done,2026-02-24,2026-02-27,中村,medium,カンバン表示機能の要件整理を実施,16
T-017,CSV取込要件整理,,done,2026-02-25,2026-03-01,田中,high,CSV取込機能の要件整理を実施,17
T-018,CSV出力要件整理,T-017,done,2026-02-26,2026-03-03,佐藤,critical,CSV出力機能の要件整理を実施,18
T-019,通知要件整理,,done,2026-02-27,2026-03-01,鈴木,medium,通知機能の要件整理を実施,19
T-020,検索要件整理,,done,2026-02-28,2026-03-03,高橋,low,検索機能の要件整理を実施,20
T-021,フィルタ要件整理,,done,2026-03-01,2026-03-05,伊藤,medium,フィルタ機能の要件整理を実施,21
T-022,並び替え要件整理,,done,2026-03-02,2026-03-07,中村,high,並び替え機能の要件整理を実施,22
T-023,コメント要件整理,,done,2026-03-03,2026-03-05,田中,critical,コメント機能の要件整理を実施,23
T-024,添付ファイル要件整理,T-023,done,2026-03-04,2026-03-07,佐藤,medium,添付ファイル機能の要件整理を実施,24
T-025,権限要件整理,,done,2026-03-05,2026-03-09,鈴木,low,権限機能の要件整理を実施,25
T-026,監査ログ要件整理,,done,2026-03-06,2026-03-11,高橋,medium,監査ログ機能の要件整理を実施,26
T-027,ダッシュボード要件整理,,done,2026-03-07,2026-03-09,伊藤,high,ダッシュボード機能の要件整理を実施,27
T-028,レポート要件整理,,done,2026-03-08,2026-03-11,中村,critical,レポート機能の要件整理を実施,28
T-029,バックアップ要件整理,,done,2026-03-09,2026-03-13,田中,medium,バックアップ機能の要件整理を実施,29
T-030,復元要件整理,T-029,done,2026-03-10,2026-03-15,佐藤,low,復元機能の要件整理を実施,30
T-031,認証設計,,done,2026-03-11,2026-03-13,鈴木,medium,認証機能の設計を実施,31
T-032,ユーザー管理設計,,done,2026-03-12,2026-03-15,高橋,high,ユーザー管理機能の設計を実施,32
T-033,タスク一覧設計,,done,2026-03-13,2026-03-17,伊藤,critical,タスク一覧機能の設計を実施,33
T-034,タスク詳細設計,,done,2026-03-14,2026-03-19,中村,medium,タスク詳細機能の設計を実施,34
T-035,ガント表示設計,,done,2026-03-15,2026-03-17,田中,low,ガント表示機能の設計を実施,35
T-036,カンバン表示設計,T-035,done,2026-03-16,2026-03-19,佐藤,medium,カンバン表示機能の設計を実施,36
T-037,CSV取込設計,,done,2026-03-17,2026-03-21,鈴木,high,CSV取込機能の設計を実施,37
T-038,CSV出力設計,,done,2026-03-18,2026-03-23,高橋,critical,CSV出力機能の設計を実施,38
T-039,通知設計,,done,2026-03-19,2026-03-21,伊藤,medium,通知機能の設計を実施,39
T-040,検索設計,,done,2026-03-20,2026-03-23,中村,low,検索機能の設計を実施,40
T-041,フィルタ設計,,done,2026-03-21,2026-03-25,田中,medium,フィルタ機能の設計を実施,41
T-042,並び替え設計,T-041,done,2026-03-22,2026-03-27,佐藤,high,並び替え機能の設計を実施,42
T-043,コメント設計,,done,2026-03-23,2026-03-25,鈴木,critical,コメント機能の設計を実施,43
T-044,添付ファイル設計,,done,2026-03-24,2026-03-27,高橋,medium,添付ファイル機能の設計を実施,44
T-045,権限設計,,done,2026-03-25,2026-03-29,伊藤,low,権限機能の設計を実施,45
T-046,監査ログ設計,,inProgress,2026-03-26,2026-03-31,中村,medium,監査ログ機能の設計を実施,46
T-047,ダッシュボード設計,,inProgress,2026-03-27,2026-03-29,田中,high,ダッシュボード機能の設計を実施,47
T-048,レポート設計,T-047,done,2026-03-28,2026-03-31,佐藤,critical,レポート機能の設計を実施,48
T-049,バックアップ設計,,inProgress,2026-03-29,2026-04-02,鈴木,medium,バックアップ機能の設計を実施,49
T-050,復元設計,,inProgress,2026-03-30,2026-04-04,高橋,low,復元機能の設計を実施,50
T-051,認証実装,,done,2026-03-31,2026-04-02,伊藤,medium,認証機能の実装を実施,51
T-052,ユーザー管理実装,,inProgress,2026-04-01,2026-04-04,中村,high,ユーザー管理機能の実装を実施,52
T-053,タスク一覧実装,,inProgress,2026-04-02,2026-04-06,田中,critical,タスク一覧機能の実装を実施,53
T-054,タスク詳細実装,T-053,done,2026-04-03,2026-04-08,佐藤,medium,タスク詳細機能の実装を実施,54
T-055,ガント表示実装,,inProgress,2026-04-04,2026-04-06,鈴木,low,ガント表示機能の実装を実施,55
T-056,カンバン表示実装,,inProgress,2026-04-05,2026-04-08,高橋,medium,カンバン表示機能の実装を実施,56
T-057,CSV取込実装,,done,2026-04-06,2026-04-10,伊藤,high,CSV取込機能の実装を実施,57
T-058,CSV出力実装,,inProgress,2026-04-07,2026-04-12,中村,critical,CSV出力機能の実装を実施,58
T-059,通知実装,,inProgress,2026-04-08,2026-04-10,田中,medium,通知機能の実装を実施,59
T-060,検索実装,T-059,done,2026-04-09,2026-04-12,佐藤,low,検索機能の実装を実施,60
T-061,フィルタ実装,,inProgress,2026-04-10,2026-04-14,鈴木,medium,フィルタ機能の実装を実施,61
T-062,並び替え実装,,inProgress,2026-04-11,2026-04-16,高橋,high,並び替え機能の実装を実施,62
T-063,コメント実装,,done,2026-04-12,2026-04-14,伊藤,critical,コメント機能の実装を実施,63
T-064,添付ファイル実装,,inProgress,2026-04-13,2026-04-16,中村,medium,添付ファイル機能の実装を実施,64
T-065,権限実装,,inProgress,2026-04-14,2026-04-18,田中,low,権限機能の実装を実施,65
T-066,監査ログ実装,T-065,done,2026-04-15,2026-04-20,佐藤,medium,監査ログ機能の実装を実施,66
T-067,ダッシュボード実装,,inProgress,2026-04-16,2026-04-18,鈴木,high,ダッシュボード機能の実装を実施,67
T-068,レポート実装,,inProgress,2026-04-17,2026-04-20,高橋,critical,レポート機能の実装を実施,68
T-069,バックアップ実装,,done,2026-04-18,2026-04-22,伊藤,medium,バックアップ機能の実装を実施,69
T-070,復元実装,,inProgress,2026-04-19,2026-04-24,中村,low,復元機能の実装を実施,70
T-071,認証単体テスト,,inProgress,2026-04-20,2026-04-22,田中,medium,認証機能の単体テストを実施,71
T-072,ユーザー管理単体テスト,T-071,done,2026-04-21,2026-04-24,佐藤,high,ユーザー管理機能の単体テストを実施,72
T-073,タスク一覧単体テスト,,inProgress,2026-04-22,2026-04-26,鈴木,critical,タスク一覧機能の単体テストを実施,73
T-074,タスク詳細単体テスト,,inProgress,2026-04-23,2026-04-28,高橋,medium,タスク詳細機能の単体テストを実施,74
T-075,ガント表示単体テスト,,done,2026-04-24,2026-04-26,伊藤,low,ガント表示機能の単体テストを実施,75
T-076,カンバン表示単体テスト,,inProgress,2026-04-25,2026-04-28,中村,medium,カンバン表示機能の単体テストを実施,76
T-077,CSV取込単体テスト,,todo,2026-04-26,2026-04-30,田中,high,CSV取込機能の単体テストを実施,77
T-078,CSV出力単体テスト,T-077,todo,2026-04-27,2026-05-02,佐藤,critical,CSV出力機能の単体テストを実施,78
T-079,通知単体テスト,,todo,2026-04-28,2026-04-30,鈴木,medium,通知機能の単体テストを実施,79
T-080,検索単体テスト,,inProgress,2026-04-29,2026-05-02,高橋,low,検索機能の単体テストを実施,80
T-081,フィルタ単体テスト,,todo,2026-04-30,2026-05-04,伊藤,medium,フィルタ機能の単体テストを実施,81
T-082,並び替え単体テスト,,todo,2026-05-01,2026-05-06,中村,high,並び替え機能の単体テストを実施,82
T-083,コメント単体テスト,,todo,2026-05-02,2026-05-04,田中,critical,コメント機能の単体テストを実施,83
T-084,添付ファイル単体テスト,T-083,inProgress,2026-05-03,2026-05-06,佐藤,medium,添付ファイル機能の単体テストを実施,84
T-085,権限単体テスト,,todo,2026-05-04,2026-05-08,鈴木,low,権限機能の単体テストを実施,85
T-086,監査ログ単体テスト,,todo,2026-05-05,2026-05-10,高橋,medium,監査ログ機能の単体テストを実施,86
T-087,ダッシュボード単体テスト,,todo,2026-05-06,2026-05-08,伊藤,high,ダッシュボード機能の単体テストを実施,87
T-088,レポート単体テスト,,inProgress,2026-05-07,2026-05-10,中村,critical,レポート機能の単体テストを実施,88
T-089,バックアップ単体テスト,,todo,2026-05-08,2026-05-12,田中,medium,バックアップ機能の単体テストを実施,89
T-090,復元単体テスト,T-089,todo,2026-05-09,2026-05-14,佐藤,low,復元機能の単体テストを実施,90
T-091,認証結合テスト,,todo,2026-05-10,2026-05-12,鈴木,medium,認証機能の結合テストを実施,91
T-092,ユーザー管理結合テスト,,inProgress,2026-05-11,2026-05-14,高橋,high,ユーザー管理機能の結合テストを実施,92
T-093,タスク一覧結合テスト,,todo,2026-05-12,2026-05-16,伊藤,critical,タスク一覧機能の結合テストを実施,93
T-094,タスク詳細結合テスト,,todo,2026-05-13,2026-05-18,中村,medium,タスク詳細機能の結合テストを実施,94
T-095,ガント表示結合テスト,,todo,2026-05-14,2026-05-16,田中,low,ガント表示機能の結合テストを実施,95
T-096,カンバン表示結合テスト,T-095,inProgress,2026-05-15,2026-05-18,佐藤,medium,カンバン表示機能の結合テストを実施,96
T-097,CSV取込結合テスト,,todo,2026-05-16,2026-05-20,鈴木,high,CSV取込機能の結合テストを実施,97
T-098,CSV出力結合テスト,,todo,2026-05-17,2026-05-22,高橋,critical,CSV出力機能の結合テストを実施,98
T-099,通知結合テスト,,todo,2026-05-18,2026-05-20,伊藤,medium,通知機能の結合テストを実施,99
T-100,検索結合テスト,,inProgress,2026-05-19,2026-05-22,中村,low,検索機能の結合テストを実施,100
